org,ts,esn,gpn,ufs,changeover,first,result,prep_plus_main (min)
G1,2024-05-20 18:39:16,3472460199,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.92
G1,2024-05-20 18:41:41,3472460243,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.19
G1,2024-05-20 18:42:04,3472460185,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.88
G1,2024-05-20 18:42:16,3472460254,010-02976-62,Micron Dorado-A 256GB,0,1,1,49.07
G1,2024-05-20 18:42:20,3467427010,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.42
G1,2024-05-20 18:42:57,3472459432,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.08
G1,2024-05-20 18:42:57,3467427011,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.69
G1,2024-05-20 18:43:11,3467427012,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.33
G1,2024-05-20 18:44:09,3467427022,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.91
G1,2024-05-20 18:44:24,3472459642,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.96
G1,2024-05-20 18:44:50,3467427019,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.42
G1,2024-05-20 18:45:22,3472459630,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.13
G1,2024-05-20 18:46:20,3472459633,010-02976-64,Micron Dorado-A 256GB,0,1,1,38.54
G1,2024-05-20 18:46:56,3472460194,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.53
G1,2024-05-20 18:47:10,3472460562,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.96
G1,2024-05-20 18:47:34,3472460555,010-02976-62,Micron Dorado-A 256GB,0,1,1,50.36
G1,2024-05-20 18:48:01,3472460646,010-02976-62,Micron Dorado-A 256GB,0,1,1,47.07
G1,2024-05-20 18:48:15,3472460193,010-02976-62,Micron Dorado-A 256GB,0,1,1,46.03
G1,2024-05-20 18:48:40,3472459645,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.36
G1,2024-05-20 18:48:57,3472459640,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.84
G1,2024-05-20 18:49:30,3472460561,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.89
G1,2024-05-20 18:49:56,3472460557,010-02976-62,Micron Dorado-A 256GB,0,1,1,47
G1,2024-05-20 18:50:06,3472459648,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.1
G1,2024-05-20 18:51:01,3472459644,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.46
